Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Sector,Exchange,1-Month High,1-Month Low,1-Year Beta,Aroon Down (14),Aroon Up (14),Average Volume (10 day),Average Directional Index (14),Awesome Oscillator,Bollinger Lower Band (20),Bollinger Upper Band (20),Bull Bear Power,"Change 1h, %",Average True Range (14),Change 1h,"Change 1W, %","Change 1m, %","Change 5m, %","Change 15m, %",Commodity Channel Index (20),Country,Exponential Moving Average (20),High,Hull Moving Average (9),"Ichimoku Base Line (9, 26, 52, 26)","Ichimoku Conversion Line (9, 26, 52, 26)","Ichimoku Leading Span A (9, 26, 52, 26)","Ichimoku Leading Span B (9, 26, 52, 26)","Change 1M, %","Change 4h, %",Industry,Low,"MACD Level (12, 26)","MACD Signal (12, 26)",Momentum (10),Keltner Channels Lower Band (20),Keltner Channels Upper Band (20),Moving Averages Rating,Negative Directional Indicator (14),Open,Oscillators Rating,Positive Directional Indicator (14),Relative Strength Index (14),Relative Volume,Relative Volume at Time,Simple Moving Average (5),Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (200),"Stochastic %D (14, 3, 3)","Stochastic %K (14, 3, 3)","Stochastic RSI Fast (3, 3, 14, 14)","Stochastic RSI Slow (3, 3, 14, 14)",Volatility Week,Volatility Month,Volatility,Volume Weighted Average Price,Volume Weighted Moving Average (20),Average Day Range (14)
ALSALAMSUDAN,AL SALAM BK-SUDAN,1.03,7.29166667,0.07,Buy,11375,11716.25,112421925,5.99883518,0.1717,Finance,DFM,1.03,1.03,0.31041747,92.85714286,71.42857143,0,9.38162608,-0.00403235,0.95020252,1.05029748,0.05167268,-1.9047619,0.029779,-0.02,0,7.29166667,7.29166667,7.29166667,115.39430587,Sudan,1.00668,1.03,0.99114815,1.03,1.005,1.0525,1.0315,0,-1.9047619,Regional Banks,1.03,-0.00551486,-0.00756076,0.06,0.94365205,1.06970794,Buy,42.56397624,1.03,Buy,47.36294993,52.70775792,1.49574616,,1.012,1.00025,1.0257,1.09004,41.97530864,25.92592593,37.04796515,51.56616031,0,0,0,0.99125803,1.00299551,0.00378571
AMAN,AMAN (DUBAI ISL IN,0.703,0,0,Neutral,25000,17575,159605254,,-0.0353,Finance,DFM,0.807,0.64,0.14987807,42.85714286,0,1342917.8,9.89022436,0.00262353,0.68523383,0.71926617,0.00022421,0,0.00835731,0,-0.56577086,0,0,0,13.4589502,United Arab Emirates,0.70297011,0.703,0.70410741,0.7015,0.698,0.71,0.7195,-0.56577086,-0.56577086,Multi-Line Insurance,0.703,-0.00045714,-0.00116885,0.016,0.68726414,0.71867607,Sell,39.39254346,0.703,Neutral,41.4182852,49.76180015,0.28545232,,0.7048,0.70225,0.7058,0.69681,60.55854241,60.1702509,61.99702313,61.35178386,4.51895044,4.3638876,4.51895044,0.7039193,0.70526834,0.00285714
AMANAT,AMANAT HLDGS,1.01,-0.98039216,-0.01,Buy,20405,20609.05,2516301055,20.48681542,0.0493,Finance,DFM,1.09,0.993,0.28347746,0,57.14285714,8007307.7,24.23608633,0.00883824,0.99353576,1.02146424,-0.00197175,0,0.00656571,0,0,0,-0.98039216,-0.98039216,29.62962963,United Arab Emirates,1.00934633,1.01,1.01533333,1.01,1.01,1.0075,1.0075,0,0,Financial Conglomerates,1.01,0.00292391,0.00224715,0.01,0.99499522,1.02369744,Buy,39.14444792,1.01,Neutral,45.76647863,51.17593496,0.14554426,,1.014,1.0075,1.0045,1.008565,72.22222222,66.66666667,43.84157184,53.2368348,2,2.5317125,2,1.0065865,1.00715759,0.00142857
AMLAK,AMLAK FINANCE,0.843,0.71684588,0.006,Buy,299326,252331.818,1222499996,4.35433884,0.3181,Finance,DFM,0.848,0.722,1.1135154,0,50,11519168.3,20.19309632,0.00552059,0.83270778,0.84459222,0.00712305,0.35714286,0.00335497,0.003,3.43558282,0.71684588,0.71684588,0.71684588,131.0211946,United Arab Emirates,0.83821963,0.843,0.83950741,0.83,0.84,0.8305,0.829,3.43558282,0.35714286,Real Estate Investment Trusts,0.843,0.00233897,0.00242384,0.004,0.83186137,0.8445779,Strong Buy,23.14597464,0.843,Neutral,34.84851735,58.80114104,1.46635059,1.51495603,0.8404,0.83865,0.8338,0.819275,54.85008818,52.38095238,24.83253554,17.10142696,3.79901961,3.10125551,3.92156863,0.83249597,0.8397897,0.00157143
AMR,Americana Restaurants International PLC,3.97,0,0,Sell,456151,1810919.47,35222662751.51738,,,Consumer Services,ADX,4.23,3.84,0.16377659,85.71428571,0,6662852.7,73.96776138,-0.03767647,3.95901613,4.02098387,-0.02425309,-0.50125313,0.0113228,-0.02,-6.1465721,0,0,0,-99.22099221,United Arab Emirates,3.99178704,3.97,3.96640741,4,3.975,4.0675,4.125,-6.1465721,-0.50125313,Restaurants,3.97,-0.01987501,-0.02099896,-0.02,3.97124726,4.01232683,Strong Sell,48.54335677,3.97,Neutral,4.07431217,31.13791132,2.83105734,2.32280292,3.972,3.99,4.039,4.13005,14.44444444,18.88888889,21.35310059,25.72603883,6.06060606,1.70815807,6.81818182,4.03751702,3.989484,0.00928571
APEX,APEX INVESTMENT P.S.C,1.82,0,0,Sell,10000,18200,6466815676,,-0.0147,Non-Energy Minerals,ADX,1.99,1.78,0.0092077,64.28571429,7.14285714,2070296.7,18.21828661,-0.01120588,1.80242359,1.85157641,-0.00141891,1.11111111,0.00879946,0.02,0,0,0,0,-53.14009662,United Arab Emirates,1.82279121,1.82,1.817,1.825,1.815,1.825,1.83,0,1.11111111,Construction Materials,1.82,-0.00358352,-0.00230914,-0.01,1.80467683,1.84090559,Sell,33.24714715,1.82,Neutral,26.75734654,48.08383523,0.16053787,,1.816,1.827,1.8256,1.82875,31.11111111,40,45.02293573,37.67616568,2.77777778,2.41165371,2.77777778,1.8251166,1.82270605,0.005
ARMX,ARAMEX COMPANY,2.86,0.35087719,0.01,Strong Buy,44693,127821.98,4114120847.999999,30.07360673,0.0951,Transportation,DFM,3,2.7,0.64968616,35.71428571,14.28571429,659946,18.11098126,0.01155882,2.836,2.86,0.02066298,0.35087719,0.00635785,0.01,1.77935943,0.35087719,0.35087719,0.35087719,172.57683215,United Arab Emirates,2.84710643,2.86,2.85374074,2.845,2.85,2.8225,2.815,1.77935943,0.35087719,Air Freight/Couriers,2.86,0.0051387,0.00516981,0.01,2.83597099,2.85824186,Strong Buy,29.21871555,2.86,Buy,53.57375541,59.75162077,2.44024024,,2.852,2.848,2.835,2.79585,55.55555556,66.66666667,57.35312672,46.04115618,1.77304965,2.14070811,2.12765957,2.84708856,2.8478087,0.00071429
ASCANA,ARABIAN SCANDINAVI,1.98,0,0,Sell,1548,3065.04,304920003,,-0.281,Finance,DFM,2.19,1.98,-0.36679137,14.28571429,50,199.8,17.59330283,0.13635294,1.69015928,2.31784072,-0.10076497,0,0.06163064,0,0,0,0,0,-12.82051282,United Arab Emirates,2.00262197,1.98,1.96948148,2.06,2.155,1.7075,2.145,0,0,Property/Casualty Insurance,1.98,0.05229675,0.05898096,0.19,1.87555079,2.12969316,Sell,49.91937272,1.98,Neutral,50.08062728,50.08062728,0.14827586,,2.064,2.004,1.8622,2.03135,48.14814815,35.18518519,23.48167596,38.29032355,0,0,0,1.98,1.85483647,0
ASM,Al  Seer Marine Supplies & Equipment Company P.J.S.C,7.56,0,0,Neutral,573,4331.88,7630000114,,,Consumer Durables,ADX,7.9,7.11,0.55262434,28.57142857,0,1006929,12.31044754,-0.02647059,7.50521957,7.60178043,0.00589947,0.53191489,0.02680513,0.04,-0.91743119,0,0,0,32.83369022,United Arab Emirates,7.56547229,7.56,7.56085185,7.595,7.54,7.6225,7.705,-0.91743119,0.53191489,Recreational Products,7.56,-0.01825423,-0.02314563,0.05,7.51894826,7.61199631,Sell,42.64016922,7.56,Neutral,39.26797947,47.29401937,0.21353507,,7.556,7.5535,7.6164,7.656,55.52910053,59.45767196,94.51149036,93.47400051,2.53333333,2.56441975,2.53333333,7.6192637,7.56803774,0.00285714
BAYANAT,Bayanat AI PLC,4.11,0,0,Sell,34500,141795,10542900000,,,Technology Services,ADX,4.35,3.93,0.97995484,0,57.14285714,3104103.5,14.03000224,0.01020588,4.0642632,4.1447368,-0.0070827,-0.24271845,0.00939737,-0.01,0.24390244,0,0,0,23.62204724,United Arab Emirates,4.1117991,4.11,4.11503704,4.1,4.12,4.1225,4.14,0.24390244,-0.24271845,Data Processing Services,4.11,0.0017978,-0.00066921,0,4.0946122,4.12898599,Strong Sell,44.91578207,4.11,Neutral,46.55634777,48.9710698,0.97665926,,4.118,4.1045,4.1146,4.123,83.33333333,77.77777778,71.20201713,78.82695335,2.71604938,2.09137566,2.71604938,4.11691306,4.11027108,0.00285714
BHMCAPITAL,BHM CAPITAL,1.8,0,0,Buy,685,1233,308575901,,,Finance,DFM,1.8,1.8,-0.31975785,0,57.14285714,68.5,33.27035837,0.32014706,1.35536521,1.90263479,0.19115219,0,0.06089862,0,0,0,0,0,96.63574692,United Arab Emirates,1.63537402,1.8,1.83203704,1.575,1.7,1.2125,1.165,0,0,Investment Banks/Brokers,1.8,0.13543635,0.13376055,0.11,1.51827148,1.75247656,Strong Buy,26.47224999,1.8,Neutral,64.42260526,64.54907475,0.00005085,,1.8,1.629,1.33762,,100,100,52.96254098,52.96254098,0,0,0,1.8,1.79693024,0.01428571
BOROUGE,Borouge PLC,2.66,0,0,Strong Buy,440660,1172155.6,79352301299,,,Process Industries,ADX,2.66,2.54,0.41883895,0,28.57142857,3655106.2,17.92767813,0.01061765,2.6423381,2.6656619,0.00609349,0.37735849,0.00510825,0.01,0.75757576,0,0,0,83.88520971,United Arab Emirates,2.65461813,2.66,2.66074074,2.65,2.655,2.6375,2.635,0.75757576,0.37735849,Chemicals: Specialty,2.66,0.00443427,0.00420124,0,2.64509531,2.66414095,Strong Buy,36.51455308,2.66,Buy,21.44528685,58.65628189,5.98464251,1.60356114,2.66,2.654,2.646,2.6331,100,100,49.54638891,49.54638891,1.14068441,0.92289853,1.14068441,2.64436592,2.65499687,0.00214286
BURJEEL,BURJEEL HOLDINGS PLC,2.28,0,0,Buy,328332,748596.96,11763600000,4.6759639,0.4876,Health Services,ADX,2.35,2.18,-0.03464093,0,71.42857143,3561406.6,14.17775021,0.01414706,2.24975176,2.28524824,0.01437201,0.44052863,0.00542075,0.01,0.88495575,0,0,0,124.18300654,United Arab Emirates,2.27007636,2.28,2.28344444,2.265,2.27,2.2625,2.27,0.88495575,0.44052863,Medical/Nursing Services,2.28,0.00470327,0.00288907,0.02,2.26069977,2.27945295,Strong Buy,27.19896046,2.28,Buy,32.02684355,60.00124631,17.35957195,0.87396565,2.28,2.2675,2.2614,2.283,100,100,100,100,1.33333333,1.6225421,1.33333333,2.26698449,2.27045602,0.00214286
CBD,COMM BK OF DUBAI,4.63,0.65217391,0.03,Strong Buy,1283,5940.29,13552771087,7.5260078,0.6152,Finance,DFM,4.75,4.3,0.39837286,50,78.57142857,35988.2,9.57658855,0.06641176,4.42016677,4.68983323,0.06715417,2.88888889,0.07171567,0.13,1.98237885,0.65217391,0.65217391,2.88888889,92.160383,United Arab Emirates,4.56884731,4.63,4.6132963,4.58,4.58,4.485,4.49,1.98237885,2.88888889,Major Banks,4.6,0.0220615,0.01463169,0.09,4.4169874,4.72070723,Strong Buy,32.32807942,4.6,Buy,41.39192672,53.79100055,0.18027259,,4.616,4.555,4.5342,4.4844,61.76470588,49.01960784,46.80030045,60.54779987,7.70975057,1.68478403,7.70975057,4.62388538,4.56944899,0.03071429
DANA,DANA GAS PJSC,0.87,0,0,Buy,44218,38469.66,6016021340,9.30481283,0.0935,Energy Minerals,ADX,0.877,0.816,0.6168876,21.42857143,35.71428571,11935021.3,29.27030462,0.00082941,0.86664376,0.87145624,0.00099505,0.34602076,0.00104389,0.003,1.1627907,0,0,0,67.01940035,United Arab Emirates,0.86913034,0.87,0.86963333,0.869,0.87,0.86625,0.8635,1.1627907,0.34602076,Integrated Oil,0.87,0.00084802,0.0009671,0.003,0.86742971,0.87083097,Strong Buy,24.39312825,0.87,Neutral,43.86814642,56.00460153,0.16978015,1.13862118,0.8698,0.86905,0.86654,0.85403,66.66666667,66.66666667,51.44454232,53.711413,3.17647059,1.10283003,3.17647059,0.8645092,0.86991006,0.0005
DARTAKAFUL,DAR AL TAKAFUL,0.75,-1.18577075,-0.009,Strong Sell,36039,27029.25,197978900,,-0.2893,Finance,DFM,0.898,0.65,0.5347708,42.85714286,0,1166539.7,26.87360022,-0.02061765,0.73154205,0.80075795,-0.00954674,0,0.01064872,0,-1.44546649,-1.18577075,-1.18577075,-1.18577075,-68.53741497,United Arab Emirates,0.76505833,0.759,0.75502593,0.785,0.7545,0.7925,0.8235,-1.44546649,0,Multi-Line Insurance,0.75,-0.01142723,-0.01142333,-0.02,0.7459511,0.78416556,Strong Sell,57.48135706,0.759,Sell,30.35072025,41.62466121,1.78394111,,0.7536,0.76615,0.7891,0.762285,8,6,23.39176123,22.24375247,6.66666667,4.44980419,6.66666667,0.76798604,0.76780617,0.00114286
DEWA,DUBAI ELECTRICITY,2.7,0,0,Strong Buy,1826691,4932065.7,130999994278,17.46442432,0.1546,Utilities,DFM,2.7,2.49,0.6527201,0,85.71428571,31328107.7,45.29518741,0.02176471,2.65955006,2.70444994,0.02337632,0.74626866,0.01061647,0.02,3.05343511,0,0,0,164.96250852,United Arab Emirates,2.6823162,2.7,2.70211111,2.675,2.69,2.65,2.645,3.05343511,0.74626866,Electric Utilities,2.7,0.01163361,0.01093252,0.02,2.66062055,2.70401186,Strong Buy,4.68059929,2.7,Buy,20.89948018,67.21020127,2.54470211,1.75428334,2.696,2.682,2.6552,2.61965,100,100,100,91.52549635,3.44827586,1.79304403,3.44827586,2.66643868,2.68497428,0.01071429
DEYAAR,DEYAAR DEVELOPMENT,0.681,-0.14662757,-0.001,Sell,698174,475456.494,2931811133,17.92105263,0.038,Finance,DFM,0.69,0.63,1.1499854,14.28571429,57.14285714,16600710.5,10.58114593,-0.00024118,0.67931366,0.68808634,-0.0054385,-0.43859649,0.00243574,-0.003,1.64179104,-0.14662757,-0.14662757,-0.14662757,-125.87412587,United Arab Emirates,0.68376907,0.681,0.68185185,0.684,0.684,0.68375,0.6775,1.64179104,-0.43859649,Real Estate Development,0.681,0.00004433,0.00042172,-0.003,0.67918072,0.68835741,Sell,28.08210135,0.681,Sell,20.86758725,44.39165278,1.71735285,4.33064873,0.6832,0.6837,0.68398,0.665305,49.20634921,33.33333333,16.43001658,35.13662067,2.67857143,2.04293778,2.97619048,0.68416456,0.68297053,0.00185714
DFM,DUBAI FINANCIAL,1.55,0.64935065,0.01,Strong Buy,2261837,3505847.35,11993644775,79.89690722,0.0194,Finance,DFM,1.55,1.4,1.7287518,21.42857143,92.85714286,13026552.2,19.33715161,0.01052941,1.51265702,1.54434298,0.03378434,1.30718954,0.00827028,0.02,3.33333333,0,0.64935065,0.64935065,260.16260163,United Arab Emirates,1.53020506,1.55,1.54448148,1.535,1.535,1.5175,1.505,3.33333333,1.30718954,Investment Banks/Brokers,1.55,0.00552742,0.00389173,0.03,1.51221452,1.5481956,Strong Buy,20.11103896,1.55,Buy,23.16106894,68.93335689,4.39031638,1.30975128,1.538,1.5285,1.5208,1.49775,81.48148148,88.88888889,100,88.35540648,4.02684564,2.04199155,4.02684564,1.52807262,1.53628362,0.005
DIB,DUBAI ISLAMIC BANK,5.51,-0.36166365,-0.02,Neutral,1017891,5608579.41,39532479070,7.66235572,0.7191,Finance,DFM,5.53,5.28,1.035294,0,85.71428571,5863849.1,15.89905706,0.00832353,5.4961477,5.5298523,-0.01371088,0,0.01198874,0,0.73126143,0,-0.36166365,-0.36166365,-30.50108932,United Arab Emirates,5.51414107,5.51,5.52633333,5.51,5.52,5.495,5.475,0.73126143,0,Major Banks,5.51,0.00528465,0.0050219,0,5.4896306,5.53865154,Sell,10.11697105,5.51,Neutral,10.50670042,49.01853133,4.41694048,1.96828845,5.522,5.513,5.5058,5.4663,92.59259259,77.77777778,66.66666667,80.81286409,1.65441176,0.99708782,1.65441176,5.5052353,5.51513653,0.01071429
DIC,DUBAI INVESTMENTS,2.39,1.70212766,0.04,Strong Buy,700000,1673000,9907205183,5.90706871,0.4046,Non-Energy Minerals,DFM,2.39,2.2,0.9500764,21.42857143,100,3805057.2,25.44853201,0.01844118,2.33043758,2.37856242,0.06180001,2.13675214,0.01047511,0.05,2.5751073,0,1.70212766,1.70212766,274.6615087,United Arab Emirates,2.35550428,2.39,2.36518519,2.365,2.365,2.335,2.33,2.5751073,2.13675214,Construction Materials,2.39,0.00680808,0.00501525,0.05,2.33149388,2.37951468,Strong Buy,26.75395754,2.39,Buy,58.81230806,65.01168502,12.59695154,,2.366,2.3545,2.3434,2.2992,58.33333333,50,46.49359538,50.13261946,3.01724138,1.47055538,3.01724138,2.35129563,2.36881427,0.005
DNIR,DUBAI NATL INSURAN,5.6,0,0,Sell,14371,80477.6,693000000,14.51153148,0.3859,Finance,DFM,5.6,5.6,-0.5374123,71.42857143,28.57142857,0,17.29042829,-1.21676471,4.40812293,7.85087707,-0.26874949,3.7037037,0.42924158,0.2,0,0,0,0,-45.11470381,United Arab Emirates,5.97521545,5.6,5.49677778,5.85,5.685,7.2,6.75,0,3.7037037,Multi-Line Insurance,5.6,-0.43918769,-0.40074936,-1.27,5.03588772,6.91454318,Sell,55.00359334,5.6,Sell,44.98201168,44.99665673,0.01216291,,5.32,6.1295,6.79,5.67015,34.81273116,42.05344585,76.69680489,71.40069366,0,0,0,5.6,6.8660484,0
DRC,DUBAI REFRESHMENTS,16.05,-0.31055901,-0.05,Sell,3500,56175,1449000034,14.72882445,1.0897,Consumer Non-Durables,DFM,19.5,16.05,-0.24184756,100,28.57142857,849,11.52959916,-0.43720588,15.81320065,19.24679935,-1.90763672,-0.31055901,0.6235467,-0.05,-0.31055901,-0.31055901,-0.31055901,-0.31055901,-157.46971736,United Arab Emirates,17.12703339,16.05,16.03333333,17.25,16.8,16.4,17.275,-0.31055901,-0.31055901,Beverages: Non-Alcoholic,16.05,-0.18175802,0.05747284,-3.45,15.91267159,18.3413952,Strong Sell,50.02712755,16.05,Neutral,39.2479586,43.20430424,0.86479541,,16.5,17.53,17.151,14.7359,8.82352941,8.82352941,13.51019217,11.90036037,0,0.58618657,0.31152648,16.05,16.85444593,0.11428571
DRIVE,Emirates Driving Company,25.92,0,0,Buy,718,18610.56,2343425070,9.65902739,2.6835,Consumer Services,ADX,26.52,25.5,0.28904682,85.71428571,7.14285714,10262.4,18.52646645,0.12505882,25.49863899,26.20536101,0.0696425,1.17096019,0.12417886,0.3,-0.68965517,0,0,0,37.59336781,United Arab Emirates,25.86852566,25.92,25.79162963,25.82,25.88,25.835,26.05,-0.68965517,-0.68965517,Other Consumer Services,25.92,0.01980405,0.01177938,0.14,25.59405576,26.14299556,Buy,47.20043183,25.92,Neutral,51.19822382,51.55864371,0.47609575,,25.892,25.852,25.9008,26.3343,37.70596958,38.46153846,24.62317847,22.7598115,1.17096019,0.63373631,1.8735363,25.8299,25.81278825,0.03285714
DU,EMIRATE INTEGRATED,5.31,0.18867925,0.01,Strong Buy,6110,32444.1,23933743373,18.82311237,0.2821,Communications,DFM,5.32,5.07,0.42216516,7.14285714,100,346149.9,7.10434331,0.01170588,5.28896061,5.30803939,0.02082331,0.37807183,0.0046579,0.02,0.56818182,0.18867925,0.18867925,0.18867925,259.68992248,United Arab Emirates,5.29729834,5.31,5.30351852,5.285,5.3,5.2775,5.285,0.56818182,0.37807183,Specialty Telecommunications,5.31,0.00413598,0.00359465,0.01,5.28899414,5.30560253,Strong Buy,31.12800432,5.31,Buy,47.15940889,63.77584746,0.30378966,,5.302,5.2985,5.2884,5.26875,100,100,83.71744125,78.28992167,0.95057034,0.94488019,0.95057034,5.292784,5.29801323,0.00142857
EAND,Emirates Telecom. Group Company (Etisalat Group) PJSC,22.36,0.53956835,0.12,Strong Buy,542160,12122697.6,194807284182,19.92337165,1.1223,Communications,ADX,23.299999,22.059999,1.4636712,28.57142857,100,2448423,23.29943099,0.00970588,22.21246361,22.31553639,0.18109188,0.53956835,0.03395572,0.12,-0.17857143,0.53956835,0.53956835,0.53956835,443.93592677,United Arab Emirates,22.2663834,22.36,22.27711111,22.28,22.29,22.26,22.32,-0.17857143,0.53956835,Major Telecommunications,22.36,0.00494125,-0.00048812,0.12,22.19195113,22.34081566,Strong Buy,18.83638686,22.36,Buy,29.57702323,67.52375963,15.46814417,1.23363972,22.268,22.264,22.2596,22.2948,63.88888889,75,56.44654513,34.86740159,1.08108108,1.06080158,1.08108108,22.30168867,22.30764717,0.02857143
EASYLEASE,Easy Lease Motorcycle Rental PJSC,32.98,0,0,Buy,1247,41126.06,1020000000,23.89335652,1.3803,Consumer Services,ADX,35,30.52,0.81674224,14.28571429,35.71428571,87528.9,14.4282762,0.20770588,30.98320624,34.67279376,0.24943916,0,0.51644737,0,-3,0,0,0,11.36281913,United Arab Emirates,32.78626605,32.98,32.06607407,32.99,33.02,32.09,32.62,-3,0,Movies/Entertainment,32.98,0.13459505,0.22841728,-1.02,31.59139263,33.98113947,Strong Buy,32.94231993,32.98,Sell,32.41624174,53.23980264,0.11583837,,32.304,32.828,32.392,32.638,17.54746343,33.05322129,24.03143599,12.29148094,7.4120603,4.42282399,7.4120603,33.27327286,32.91974815,0.32142857
EIBANK,EMIRATES INV BANK,107,0,0,Buy,20,2140,1070000000,7.77791508,13.7569,Finance,DFM,107,107,0.15159231,0,85.71428571,12,90.59585462,21.27988175,54.18541428,109.04313892,30.56108441,0,1.9473959,0,0,0,0,0,137.10841561,United Arab Emirates,87.37789545,107,109.94053118,89.1667,89.1667,79.536696,79.536696,0,0,Investment Banks/Brokers,107,7.32629304,3.53946386,35.66664,82.73637397,92.01941694,Strong Buy,6.84774015,107,Neutral,93.15225985,93.60748233,0.03128422,,101.5786888,81.6142766,80.04458814,79.66366903,99.99996262,99.99992523,99.99990873,99.99995437,0,0,0,107,93.85881827,0.01273814
EIC,Emirates Insurance Co.,7.3,-7.59493671,-0.6,Sell,576,4204.8,1185000014,12.12020588,0.6023,Finance,ADX,7.3,7.3,-0.15569355,0,7.14285714,31169.2,23.46323156,0.73441176,5.82088535,8.95011465,-0.69288191,-7.59493671,0.19460823,-0.6,-7.59493671,-7.59493671,-7.59493671,-7.59493671,-8.19672131,United Arab Emirates,7.5013039,7.3,7.69951852,7.1,7.645,6.9825,7.255,-7.59493671,-7.59493671,Property/Casualty Insurance,7.3,0.25807675,0.26415001,0.1,7.12059804,7.88200976,Neutral,51.92518945,7.3,Sell,48.06083698,48.07126726,0.31143552,,7.78,7.3855,7.1872,7.0876,80.21954236,61.67903525,36.07118663,55.24028796,0,0,8.21917808,7.3,7.20902585,0
EKTTITAB,EKTTITAB HOLDING C,0.287,0,0,Sell,672707,193066.909,81489104.60253817,,-0.00477728,Finance,DFM,0.365,0.108,,0,0,38228099.9,5.88781152,-0.00163235,0.28699998,0.28700002,-0.00036484,0,0.00170724,0,-9.74842767,0,0,0,-35.0877193,Kuwait,0.28795023,0.287,0.287,0.29,0.287,0.313,0.326,-9.74842767,0,Financial Conglomerates,0.287,-0.00186922,-0.00253642,0,0.28637012,0.28953033,Sell,21.44931448,0.287,Buy,21.99243285,41.72282505,4.86033633,,0.287,0.287,0.29446,0.24569,0,0,16.66666667,11.11111111,27.17770035,9.01590366,27.17770035,0.31772142,0.287,0
EMAAR,EMAAR PROPERTIES,6.64,0.60606061,0.04,Strong Buy,1370729,9101640.56,56656260956,7.21896064,0.9198,Finance,DFM,6.65,6.02,1.5218567,28.57142857,0,15131230.6,23.03416827,0.0155,6.60502274,6.65997726,0.0192241,0.60606061,0.02218461,0.04,3.58814353,0.60606061,0.60606061,0.60606061,55.33596838,United Arab Emirates,6.62757517,6.64,6.62596296,6.62,6.625,6.585,6.52,3.58814353,0.60606061,Real Estate Development,6.64,0.00702759,0.00971223,0.04,6.57980862,6.67534173,Strong Buy,28.1068448,6.64,Neutral,12.37786705,54.27726423,5.14007698,1.16923045,6.634,6.6325,6.605,6.53285,64.44444444,53.33333333,39.26322101,42.25802824,3.58255452,1.63839248,3.73831776,6.59618424,6.63477589,0.01928571
EMAARDEV,EMAAR DEVELOPMENT,6.3,0.8,0.05,Strong Buy,641900,4043970,23119998932,6.60308144,0.9541,Finance,DFM,6.3,5.3,1.3606373,0,100,4925922.5,45.43902905,0.07779412,6.07198429,6.24701571,0.2236944,2.43902439,0.0232802,0.15,8.99653979,0,0.8,0.8,338.87569279,United Arab Emirates,6.16472765,6.3,6.26177778,6.19,6.215,6.03,5.95,8.99653979,2.43902439,Real Estate Development,6.3,0.04593398,0.03758937,0.15,6.11645979,6.2129955,Strong Buy,8.25057522,6.3,Buy,58.19126133,84.68263372,1.79404458,3.61797461,6.22,6.1595,6.077,5.79445,98.14814815,100,100,97.80750508,9.56521739,1.71004408,9.56521739,6.08535406,6.17570611,0.01714286
EMIRATESNBD,EMIRATES NBD BANK,15.3,0.32786885,0.05,Buy,399649,6114629.7,93801492107,5.73915001,2.6659,Finance,DFM,15.3,13.7,1.09432,0,21.42857143,3195543,35.83720739,0.07044118,15.17875962,15.34124038,0.07028746,0.65789474,0.06244415,0.1,3.03030303,0.32786885,0.32786885,0.32786885,117.64705882,United Arab Emirates,15.2497159,15.3,15.27,15.2,15.275,15.075,15,3.03030303,0.65789474,Major Banks,15.3,0.03179918,0.03649046,0.1,15.12815086,15.37128094,Strong Buy,5.72723758,15.3,Neutral,10.67061174,57.32158986,9.03672131,1.17854228,15.28,15.26,15.161,14.96925,81.48148148,77.77777778,39.28017564,44.86463716,3.03030303,1.34783273,3.03030303,15.15116953,15.27007793,0.05357143
EMPOWER,EMIRATES CENTRAL C,1.87,1.08108108,0.02,Buy,2863612,5354954.44,18000000000,18.94630193,0.0987,Industrial Services,DFM,1.93,1.75,1.1211724,92.85714286,28.57142857,15453309.5,22.44570403,0.01229412,1.84887548,1.88112452,0.00906574,-0.53191489,0.00924925,-0.01,3.88888889,0,1.08108108,1.08108108,51.51515152,United Arab Emirates,1.8624831,1.87,1.86159259,1.86,1.86,1.8275,1.8,3.88888889,-0.53191489,Engineering & Construction,1.87,0.00648223,0.0085079,-0.01,1.84191675,1.88304945,Strong Buy,21.32054781,1.87,Neutral,16.26560542,58.823635,3.05160815,1.56185132,1.866,1.865,1.8448,1.8054,58.33333333,55.55555556,13.75806728,4.58602243,6.81818182,2.72954053,6.81818182,1.85246374,1.87027346,0.00785714
EMSTEEL,EMSTEEL BUILDING MATERIALS PJSC,1.42,-0.6993007,-0.01,Strong Sell,1500,2130,9726999706,16.49245064,0.0861,Non-Energy Minerals,ADX,1.51,1.42,1.2802593,50,0,3900144.3,10.12405098,-0.00370588,1.41822967,1.43977033,-0.01408653,0,0.00459493,0,0,-0.6993007,-0.6993007,-0.6993007,-166.66666667,United Arab Emirates,1.42781821,1.42,1.42833333,1.43,1.425,1.4275,1.435,0,0,Construction Materials,1.42,-0.00134821,-0.00085666,-0.01,1.41865016,1.43698625,Strong Sell,53.71766196,1.42,Sell,37.65366407,42.62950945,0.01898794,,1.426,1.429,1.4284,1.44505,50,50,65.14537213,62.83014397,1.4084507,1.4838111,1.4084507,1.42959548,1.42992607,0
